"area_type","location","Society","size","Baths","total_sqft","price","availability","",""
"Built-up Area","Bibwewadi","Pride Purple","2 bhk","2","865-1168 ","105.5","Under construction","",""
"","Bibwewadi","Mahesh Society","1 RK","1","350","25","Ready to move","",""
"Super Built-up Area","Katraj","Shri Sadguru","2 bhk","2","970","60","Ready to move","",""
"Built-up Area","Samarth Nagar","Anand Heritage","1 bhk","1","750","35","Ready to move","",""
"Built-up Area","Katraj","","2 bhk","2","1200","67.3","Ready to move","",""
"Super Built-up Area","Katraj","Sawant Vihar","1 bhk","1","450","30","Ready to move","",""
"Built-up Area","Katraj","","2 bhk","2","850","21.5","Ready to move","",""
"Super Built-up Area","Bibwewadi","Mahesh Society","1 bhk","1","550","38","Ready to move","",""
"Built-up Area","Bibwewadi","","2 bhk","1","635","50","Ready to move","",""
"Built-up Area","Bibwewadi","Suyog","2 bhk","2","915","65","Ready to move","",""
"Super Built-up Area","Bibwewadi","Chintamani","1 bhk","1","460","35","Ready to move","",""
"Built-up Area","Katraj","","1 bhk","1","750","37","Ready to move","",""
"Super Built-up Area","Katraj","Shalini","1 bhk","1","608","40","Ready to move","",""
"Super Built-up Area","Katraj","","2 bhk","2","1000","35","Ready to move","",""
"Super Built-up Area","Bibwewadi","","2 bhk","2","1300","78","Ready to move","",""
"Super Built-up Area","Padmavati","Panchavati ","2 bhk","2","1050","110","Ready to move","",""
"Super Built-up Area","Bibwewadi","Mahesh Society","1 bhk","1","580","38.99","Ready to move","",""
"Carpet Area","Bibwewadi","","3 bhk","3","1600","125","Ready to Move","",""
"Carpet Area","Bibwewadi","Green Acres","2 bhk","2","950","25","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Ashtavinayak","1 bhk","1","530","43","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Vimal Vihar","1 bhk","1","525","51","Ready to Move","",""
"Built-up Area","Bibwewadi","Guru Krupa","1 RK","1","400","21","Ready to Move","",""
"Built-up Area","Bibwewadi","Concrete Sunshine","2 bhk","2","820","90","Ready to Move","",""
"Super Built-up Area","Shivraj Nagar","","2 bhk","2","1020","77","Ready to Move","",""
"Built-up Area","Bibwewadi","Padmaja park","2 bhk","2","1109","80","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Gandhar","1 bhk","1","570","55","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Gagan Galaxy","2 bhk","2","975","151","Ready to Move","",""
"Built-up area","Bibwewadi","Mahesh Society","1 bhk","1","525","47","Ready to Move","",""
"Built-up area","Bibwewadi","Mahesh Society","2 bhk","2","1200","90","Ready to Move","",""
"Plot Area","Bibwewadi","Moraya","1 bhk","1","633","45","Ready to Move","",""
"Plot Area","Bibwewadi","jhala complex","1 bhk","1","500","65","Ready to Move","",""
"Built-up Area","Bibwewadi","","4 bhk","3","2500","375","On Sale","",""
"Super Built-up Area","Bibwewadi","Sant eknath","4 bhk","3","2600","350","On Sale","",""
"Super Built-up Area","Dhankawadi","Hill View Park","1 bhk","1","625","45.53","Ready to move","",""
"Super Built-up Area","Mohan Nagar","Kumar Pinakin","2 bhk","2","1170","80","Ready to move","",""
"Super Built-up Area","Dhankawadi","Samarth Sunako","2 bhk","2","850","47","Ready to move","",""
"Built-up Area","Dhankawadi","Ganga Ishanya","3 bhk","3","2269","184","Under construction","",""
"Super Built-up Area","Dhankawadi","Ganga Ishanya","4 bhk","4","2639","211","Under construction","",""
"Built-up Area","Dhankawadi","omkar park","1 bhk","1","620","40","Ready to move","",""
"Super Built-up Area","Dhankawadi","Vidyadhan","1 bhk","1","667","40","Under construction","",""
"Plot Area","Dhankawadi","Raut Baug","1 bhk","1","640","40","Ready to move","",""
"Built-up Area","Dhankawadi","Suyog","1 bhk","1","900","45","Ready to move","",""
"Super Built-up Area","Dhankawadi","","2 bhk","2","2710","250","Ready to move","",""
"Built-up Area","Dhankawadi","Jairaj padmavati","2 bhk","2","1090","85","Ready to move","",""
"Super Built-up Area","Dhankawadi","Sharada","1 bhk","1","601","30","Ready to move","",""
"Built-up Area","Dhankawadi","Sai heights","1 RK","1","380","14","Ready to move","",""
"Super Built-up Area","Dhankawadi","Ace ","1 bhk","1","930","80","Ready to move","",""
"Plot Area","Dhankawadi","Kale Vidyadhan","1 bhk","1","715","34","Ready to move","",""
"Carpet Area","Dhankawadi","Balaji Darshan","1 bhk","1","420","18","Ready to move","",""
"Built-up Area","Dhankawadi","balaji Nagar","4 bhk","4","2400","250","On Sale","",""
"Built-up Area","Dhankawadi","Chetan Park","1 bhk","1","494","27","Ready to move","",""
"Built-up Area","Dhankawadi","balaji Nagar","1 bhk","2","550","25","Ready to move","",""
"Super Built-up Area","Dhankawadi","Ganesh Chaitanya","1 bhk","1","625","25","Ready to move","",""
"Super Built-up Area","Dhankawadi","Rajlaxmi apt","1 bhk","2","860","35","Ready to move","",""
"Plot Area","Dhankawadi","Sai palace","1 bhk","1","600","24","Ready to move","",""
"Super Built-up Area","Dhankawadi","Fossil Fiesta","2 bhk","2","1250","105","Under construction","",""
"Super Built-up Area","Koregaon Park","Florida estate","4 bhk","5","9440","800","Ready to move","",""
"Super Built-up Area","Koregaon Park","Satellite","3 bhk","3","1270","133","Under construction","",""
"Super Built-up Area","Koregaon Park","Kolte Patil","4 bhk","4","2600","285","Under construction","",""
"Super Built-up Area","Meera nagar","Marvel exotica","3 bhk","3","1610","190","Ready to move","",""
"Super Built-up Area","Dhankawadi","Ganga Ishanya","3 bhk","3","2269","184","Under construction","",""
"Built-up Area","Meera nagar","Clover dale","3 bhk","3","1300","151","Under construction","",""
"Super Built-up Area","Koregaon Park","Marvel Aurum","4 bhk","5","5500","800","Ready to move","",""
"Super Built-up Area","Koregaon Park","Darode jog","3 bhk","3","2000","250","Under construction","",""
"Super Built-up Area","Koregaon Park","Sellandd","3 bhk","3","2300","275","Under construction","",""
"Super Built-up Area","Koregaon Park","Swan lake","2 bhk","2","1185","110","Ready to move","",""
"Super Built-up Area","Koregaon Park","Clover Acropolis","2 bhk","2","1450","160","Ready to move","",""
"Super Built-up Area","Koregaon Park","Suyojana","10 bhk","10","10000","1800","Ready to move","",""
"Super Built-up Area","Koregaon Park","Sukhwani Park","2 bhk","2","850","73","Ready to move","",""
"Super Built-up Area","Koregaon Park","Tulip","3 bhk","2","1180","95","Ready to move","",""
"Plot Area","Koregaon Park","Rakshalekha","1 bhk","1","400","40","Ready to move","",""
"Plot Area","Hadapsar","Amanora Aspire","6 bhk","7","5500","600","Ready to move","",""
"Plot Area","Manjri","","7 bhk","7","1100","110","Under construction","",""
"Built-up Area","Vitthal nagar","","5 bhk","3","1000","110","Ready to move","",""
"Built-up Area","Hadapsar","","5 bhk","3","1079","61","Ready to move","",""
"Super Built-up Area","Hadapsar","","5 bhk","5","1000","72","Under construction","",""
"Built-up Area","Hadapsar","Kumar picasso","5 bhk","5","3000","360","Under construction","",""
"Plot Area","Hadapsar","Ganraj colony","5 bhk","6","1500","450","Ready to move","",""
"Super Built-up Area","Hadapsar","St Patricks town","6 bhk","4","6280","400","Ready to move","",""
"Built-up Area","Hadapsar","","5 bhk","3","1000","70","Ready to move","",""
"Super Built-up Area","Amanora town","Gateway Towers","2 bhk","2","1054","156","Ready to move","",""
"Built-up Area","Kondhwa","Kohinoor Reina","2 bhk","2","715","69.5","Under construction","",""
"Super Built-up Area","Shivaji Nagar","Eastwoods","1 bhk","1","504","61.5","Under construction","",""
"Super Built-up Area","Dhankawadi","Nyati","3 bhk","3","1180","124","Under construction","",""
"Super Built-up Area","Bavdhan","Kolte Patil","4 bhk","4","1743.75","180","Under construction","",""
"Super Built-up Area","Sus","Sukhwani Park","2 bhk","2","661","46.7","Under construction","",""
"Built-up Area","Dhankawadi","Chaitanya Nagar","1 bhk","1","305","18","Ready to move","",""
"Built-up Area","Amanora town","Gateway Towers","3 bhk","3","1431.6","204","Ready to move","",""
"Built-up Area","Hadapsar","Belleza","2 bhk","2","757","68.6","Under construction","",""
"Built-up Area","Hadapsar","Leisure Town","1 bhk","1","460","42","Under construction","",""
"Built-up Area","Hadapsar","Greenaria","2 bhk","2","680","60","Under construction","",""
"Super Built-up Area","Shivaji Nagar","Eastwoods","2 bhk","2","835","94.6","Under construction","",""
"Built-up Area","Sinhgad Road","Venkatesh","2 bhk","2","926","128","Under construction",""," "
"Built-up Area","Sinhgad Road","Niman","3 bhk","3","914","76.5","Under construction","",""
"Super Built-up Area","Sinhgad Road","","2 bhk","2","700","105","Ready to move","",""
"Built-up Area","Sinhgad Road","","2 bhk","2","822","58","Ready to move","",""
"Super Built-up Area","Sinhgad Road","Monte Rosa","2 bhk","2","253","116","Under construction","",""
"Plot Area","Katraj","Khulshi","","","","12","","",""
"Built-up Area","Katraj","Lake Town","2 bhk","2","1060","95","Ready to move","",""
"Built-up Area","Katraj","Shivanjali","1 bhk","1","506","25","Ready to move","",""
"Super Built-up Area","Bibwewadi","Mudra","4 bhk","4","2000","425","Under construction","",""
"","Ambegaon","Nirman","1 bhk","1","500","36.6","Under construction","",""
"","Ambegaon","Nirman","2 bhk","2","750","50.6","Under construction","",""
"Super Built-up Area","Bibwewadi","Park Landmark ","2 bhk","2","820","112","Under construction","",""
"Built-up Area","Sinhgad Road","Paranjape","2 bhk","2","820","64","Ready to move","",""
"Super Built-up Area","Sinhgad Road","","1 bhk","1","720","60.5","Ready to move","",""
"Super Built-up Area","Sinhgad Road","Nanded city","2 bhk","2","700","53","Under construction","",""
"Built-up Area","Sinhgad Road","Unique Legacy","2 bhk","2","733","57.6","Under construction","",""
"Super Built-up Area","Sinhgad Road","Sarita Vaibhav","2 bhk","2","800","110","Ready to move","",""
"Built-up Area","Sinhgad Road","Sun Universe","2 bhk","2","900","82","Ready to move","",""
"Super Built-up Area","Sinhgad Road","","3 bhk","4","3065","260","Ready to move","",""
"Built-up Area","Sinhgad Road","Ajanta","1 bhk","1","470","29","Ready to move","",""
"Built-up Area","Sinhgad Road","","2 bhk","2","718","50","Ready to move","",""
"Built-up Area","Sinhgad Road","Rajyog Township","2 bhk","2","700","49","Ready to move","",""
"Built-up Area","Sinhgad Road","Crossover","3 bhk","3","900","67","Ready to move","",""
"Built-up Area","Sinhgad Road","Balark","2 bhk","2","750","68","Ready to move","",""
"Villa","Sinhgad Road","","3 bhk","4","2308","175","Ready to move","",""
"Built-up Area","Sinhgad Road","Cottage Close","2 bhk","2","810","70","Ready to move","",""
"Super Built-up Area","Sinhgad Road","Ecstasy","3 bhk","3","1106","73","Ready to Move","",""
"Built-up Area","Sinhgad Road","","1 bhk","1","455","16","Ready to Move","",""
"Built-up Area","Sinhgad Road","","3 bhk","3","810","75","Ready to Move","",""
"Built-up Area","Sinhgad Road","Homdale","1 bhk","1","450","26.6","Under construction","",""
"Super Built-up Area","Koregaon Park","Park Annexe","2 bhk","2","1000","105","Under construction","",""
"Super Built-up Area","Bavdhan","Kolte Patil","4 bhk","4","1175-1748","106","Under construction","",""
"Built-up Area","Wakad","Kasturi","4 bhk","4","1309-1431","250","Under construction","",""
"Built-up Area","Bibwewadi","Aditya Chintamani","2 bhk","2","905","80","Ready to Move","",""
"Super Built-up Area","Bibwewadi","State Bank nagar","2 bhk","2","750","105","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Gagan Galaxy","2 bhk","2","975","151","Ready to Move","",""
"Built-up area","Bibwewadi","Ramyanagari","2 bhk","1","700","65","Ready to Move","",""
"Built-up area","Padmavati","Suvarnapushpa","2 bhk","2","1271","140","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Padmaja park","2 bhk","2","1080","73","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Mahesh Society","2 bhk","2","800","65","Ready to Move","",""
"Super Built-up Area","Bibwewadi","Mahesh Society","2 bhk","2","1200","90","Ready to move","",""
"Super Built-up Area","Padmavati","Padmavati apartment","2 bhk","2","1050","110","Ready to move","",""
"Super Built-up Area","Bibwewadi","Dream city","2 bhk","1","1010","60","Ready to move","",""
"Super Built-up Area","Bibwewadi","Suvarna Nagari","1 bhk","1","570","50","Ready to move","",""
"Built-up Area","Bibwewadi","Standalone","1 bhk","1","530","45","Ready to move","",""
"Super Built-up Area","Bibwewadi","Purple castle","1 bhk","1","540","50","Ready to move","",""
"Super Built-up Area","Bibwewadi","Audi Arcade","1 bhk","1","528","47","Ready to move","",""
"Super Built-up Area","Bibwewadi","Vimal Vihar","1 bhk","1","525","51","Ready to move","",""
"Super Built-up Area","Bibwewadi","Prestige Avenue","1 bhk","1","595","50","Ready to move","",""
"Built-up Area","Bibwewadi","Aboli Apartment","1 bhk","1","640","45","Ready to move","",""
"Built-up Area","Bibwewadi","Madhusudan Park","1 bhk","1","500","35","Ready to move","",""
"Built-up Area","Bibwewadi","Sadguru Park","1 bhk","1","670","34","Ready to move","",""
"Built-up Area","Bibwewadi","Moraya Majestic","1 bhk","1","608","41.2","Ready to move","",""
"Built-up Area","Bibwewadi","Morya Nagari","1 bhk","1","516","26","Ready to move","",""
"Built-up Area","Bibwewadi","Om abhishek","1 bhk","1","560","55","Ready to move","",""
"Built-up Area","Bibwewadi","Kumar Park","1 bhk","1","600","81","Ready to move","",""
"Built-up Area","Bibwewadi","Laxmi Narayan","1 bhk","1","385","16.5","Ready to move","",""
"Built-up Area","Bibwewadi","Kumar Park","1 bhk","1","580","50","Ready to move","",""
"Built-up Area","Bibwewadi","Rajyog Society","1 bhk","1","400","48","Ready to move","",""
"Built-up Area","Bibwewadi","Kumar Park","1 bhk","1","590","59","Ready to move","",""
"Built-up Area","Bibwewadi","Jairaj Lake Town","1 bhk","1","600","52","Ready to move","",""
"Built-up Area","Bibwewadi","Pokale vasti","1 bhk","1","550","35","Ready to move","",""
"Built-up Area","Bibwewadi","","1 bhk","1","276","18","Ready to move","",""
"Built-up Area","Bibwewadi","Jairaj Lake Town","1 bhk","1","602","51","Ready to move","",""
"Built-up Area","Bibwewadi","Pruthvi Residency","1 bhk","1","545","32","Ready to move","",""
"Built-up Area","Dhankawadi","","1 bhk","1","515","21.8","Ready to move","",""
"Built-up Area","Bibwewadi","Hillview Society","1 bhk","1","540","35","Ready to move","",""
"Built-up Area","Bibwewadi","Kumar Park","1 bhk","1","617","60","Ready to move","",""
"Built-up Area","Bibwewadi","Trimurthi Apartment","1 bhk","1","380","22","Ready to move","",""
"Built-up Area","Bibwewadi","Todkar Residency","1 bhk","1","780","50","Ready to move","",""
"Built-up Area","Katraj","Chintamani","1 bhk","1","550","30","Ready to move","",""
"Built-up Area","Dhankawadi","Sai heights","1 bhk","1","610","25","Ready to move","",""
"Built-up Area","Bibwewadi","Pooja Park","1 bhk","1","575","57","Ready to move","",""
"Built-up Area","Dhankawadi","Zambre Heights","1 bhk","1","648","52","Ready to move","",""
"Built-up Area","Bibwewadi","Bhagyanagari Society","1 bhk","1","500","35","Ready to move","",""
"Built-up Area","Dhankawadi","Nirmal Park","1 bhk","1","607","48","Ready to move","",""
"Built-up Area","Bibwewadi","Green Acres","1 bhk","1","560","36","Ready to move","",""
"Built-up Area","Bibwewadi","Sai Dham","1 bhk","1","550","36","Ready to move","",""
"Built-up Area","Dhankawadi","balaji Nagar","1 bhk","1","680","28","Ready to move","",""
"Built-up Area","Dhankawadi","Omkar Apartment","1 bhk","1","500","45","Ready to move","",""
"Built-up Area","Dhankawadi","Ganesh Garden","1 bhk","1","660","56","Ready to move","",""
"Super Built-up Area","Katraj","Laxmi Golden","2 bhk","2","850","55","Ready to move","",""
"Super Built-up Area","Katraj","KNK Yashashree","2 bhk","2","905","65","Ready to move","",""
"Super Built-up Area","Katraj","Wonder city","1 bhk","1","722","45","Ready to move","",""
"Super Built-up Area","Katraj","Annex","1 bhk","1","527","42","Ready to move","",""
"Super Built-up Area","Katraj","Anita Residency","1 bhk","1","580","35","Ready to move","",""
"Super Built-up Area","Katraj","Shree krupa Srushti","2 bhk","2","850","60","Ready to move","",""
"Super Built-up Area","Katraj","Neel Lochan","1 bhk","1","586","42","Ready to move","",""
"Super Built-up Area","Katraj","","1 bhk","1","750","37","Ready to move","",""
"Built-up Area","Katraj","Sai Dham","2 bhk","2","950","60","Ready to move","",""
"Built-up Area","Katraj","","2 bhk","2","1020","70","Ready to move","",""
"Super Built-up Area","Katraj","Parvati Residency","2 bhk","2","1055","72.8","Ready to move","",""
"Super Built-up Area","Katraj","DNK bay","1 bhk","1","660","41.5","Ready to move","",""
"Built-up Area","Katraj","Annexure","1 bhk","1","500","45.6","Ready to move","",""
"Built-up Area","Katraj","Swami Samarth","1 bhk","1","750","35","Ready to move","",""
"Super Built-up Area","Katraj","","2 bhk","2","1200","67.3","Ready to move","",""
"Built-up Area","Katraj","Hemant Kamala city","1 bhk","1","605","45","Ready to move","",""
"Super Built-up Area","Katraj","","2 bhk","2","974","60","Ready to move","",""
"Built-up Area","Katraj","Manik Moti","3 bhk","2","1140","72","Ready to move","",""
"Built-up Area","Katraj","","1 bhk","1","625","35","Ready to move","",""
"Super Built-up Area","Katraj","Laketown chs","2 bhk","2","1050","120","Ready to move","",""
"Plot Area","Katraj","","3","4","1500","20","Ready to move","",""
"Super Built-up Area","Katraj","Mitali Complex","2 bhk","2","878","57","Ready to move","",""
"Super Built-up Area","Katraj","Nilaya","2 bhk","2","1050","66.5","Ready to move","",""
"Built-up Area","Katraj","Shree Ganesh Vihar","1 rk","1","265","12","Under construction","",""
"Super Built-up Area","Katraj","Samruddhi Swapnashilp","2 bhk","2","820","46","Ready to move","",""
"Built-up Area","Katraj","Manik Moti","1 bhk","1","410","26","Ready to move","",""
"Super Built-up Area","Katraj","Ashok Agam","2 bhk","2","1151","70","Ready to move","",""
"Built-up Area","Katraj","Manik Moti","3 bhk","2","1140","72","Ready to move","",""
"Built-up Area","Katraj","Nayan Park","3 bhk","2","1100","62","Ready to move","",""
"Super Built-up Area","Bibwewadi","Gagan signet","3 bhk","3","1670","125","Under construction","",""
"Super Built-up Area","Katraj","Mangal gyan","3 bhk","3","1800","99","Ready to move","",""
"Super Built-up Area","Katraj","Manik Moti","3 bhk","2","1140","70","Ready to move","",""
"Super Built-up Area","Katraj","Wonder city","4 bhk","4","2100","164","Ready to move","",""
"Super Built-up Area","Katraj","Nancy Lake Homes","3 bhk","3","1164","117","Ready to move","",""
"Built-up Area","Hadapsar","Shapoorji annexe","1 bhk","1","430","37.5","Under construction","",""
"Built-up Area","Hadapsar","Wellwisher Kiarah","2 bhk","2","697","55","Under construction","",""
"Built-up Area","Hadapsar","Shapoorji annexe","2 bhk","2","619-726","55","Under construction","",""
"Built-up Area","Hadapsar","Tranquility","1 bhk","1","432-497","34.5","Under construction","",""
"Built-up Area","Hadapsar","Tranquility","2 bhk","2","658-694","52.6","Under construction","",""
"Built-up Area","Hadapsar","greenwoods","3 bhk","3","895-911","75.5","Ready to move","",""
"Built-up Area","Hadapsar","greenwoods","2 bhk","2","734-886","70","Ready to move","",""
"Built-up Area","Hadapsar","Unika","2 bhk","2","767-795","68.4","Under construction","",""
"Built-up Area","Hadapsar","Unika","3 bhk","4","1067","93.2","Under construction","",""
"Built-up Area","Hadapsar","Kumar Pebble Park","2 bhk","2","550-650","50.8","Ready to move","",""
"Super Built-up Area","Hadapsar","Kumar Prospera","2 bhk","2","678-864","115","Under construction","",""
"Super Built-up Area","Hadapsar","Kumar Prospera","3 bhk","3","1009-1242","150","Under construction","",""
"Built-up Area","Hadapsar","Shapoorji annexe","3 bhk","3","820","70.02","Under construction","",""
"Built-up Area","Hadapsar","ARV Royale","3 bhk","4","919","64.09","Under construction","",""
"Built-up Area","Karve Nagar","Parth Enclave","2 bhk","2","875-894","120","Under construction","",""
"Built-up Area","Karve Nagar","Shree Gardens","2 bhk","2","800","90","Ready to move","",""
"Super Built-up Area","Dhankawadi","Kumar Pinakin","2 bhk","2","1170","80","Ready to move","",""
"Built-up Area","Karve Nagar","SRK K52","4 bhk","4","2450","350","Ready to move","",""
"Built-up Area","Karve Nagar","","2 bhk","2","885","120","Ready to move","",""
"Built-up Area","Karve Nagar","","2 bhk","1","808","112","Ready to move","",""
"Built-up Area","Karve Nagar","GPC","2 bhk","1","730","95","Ready to move","",""
"Built-up Area","Karve Nagar","","2 bhk","1","640","75","Ready to move","",""
"Built-up Area","Dhankawadi","","1 bhk","1","625","39.99","Ready to move","",""
"Super Built-up Area","Karve Nagar","Mapple Towers","1 bhk","1","600","40","Ready to move","",""
"Super Built-up Area","Karve Nagar","Shitij","3 bhk","3","1610","195","Ready to move","",""
"Super Built-up Area","Karve Nagar","","2 bhk","2","1200","88","Ready to move","",""
"Super Built-up Area","Koregaon Park","Rahul Residency","2 bhk","2","1400","100","Ready to move","",""
"Plot Area","Karve Nagar","Basera hsg soc","4 bhk","3","1000","130","Ready to move","",""
"Built-up Area","Dhankawadi","Taljai","2 bhk","2","817","61","Ready to move","",""
"Super Built-up Area","Dhankawadi","Joyte park","1 bhk","1","400","16","Ready to move","",""
"Built-up Area","Dhankawadi","Gulab nagar","2 bhk","1","1120","54","Ready to move","",""
"Super Built-up Area","Dhankawadi","Suyog Society","1 bhk","1","900","45","Ready to move","",""
"Super Built-up Area","Dhankawadi","Gulab nagar","2 bhk","2","900","60.5","Ready to move","",""
"Built-up Area","Dhankawadi","Anjani Gaatha","1 bhk","1","634","29","Ready to move","",""
"Plot Area","Dhankawadi","Deep plaza","2 bhk","2","575","33","Ready to move","",""
"Super Built-up Area","Dhankawadi","Sai palace","1 bhk","1","600","24","Ready to move","",""
"Built-up Area","Dhankawadi","Siddhant","1 Rk","1","381","15.5","Ready to move","",""
"Built-up Area","Dhankawadi","Vastushodh","1 Rk","1","380","14","Ready to move","",""
"Super Built-up Area","Dhankawadi","Ace Meghsparsh","1 bhk","1","930","80","Ready to move","",""
"Super Built-up Area","Dhankawadi","Kumar pinakin","2 bhk","2","1062","90","Ready to move","",""
"Plot Area","Dhankawadi","Jagdish society","4 bhk","5","3500","199","Ready to move","",""
"Built-up Area","Dhankawadi","Om apartment","1 bhk","1","680","28","Ready to move","",""
"Super Built-up Area","Karve Nagar","AMA turf","2 bhk","2","1200","135","Ready to move","",""
"Plot Area","Dhankawadi","","2 bhk","2","1650","112","Ready to move","",""
"Super Built-up Area","Karve Nagar","","1 bhk","1","656","46","Ready to move","",""
"Super Built-up Area","Karve Nagar","Anjani Gaatha","1 bhk","1","612","25","Ready to move","",""
"Built-up Area","Karve Nagar","Sagar Residency","1 bhk","1","586","27","Ready to move","",""
"Super Built-up Area","Karve Nagar","Raviraj","2 bhk","2","998","62","Ready to move","",""
"Super Built-up Area","Karve Nagar","Om sai","1 bhk","1","530","19","Ready to move","",""
"Plot Area","Dhankawadi","Sagar Darshan","5 bhk","5","3800","170","Ready to move","",""
"Built-up Area","Dhankawadi","Neelkanth","1 bhk","1","400","18","Ready to move","",""
"Built-up Area","Dhankawadi","Sacha sauda ","2 bhk","1","582","21.5","Ready to move","",""
"Plot Area","Dhankawadi","","8 bhk","7","2100","225","Ready to move","",""
"Built-up Area","Karve Nagar","Sri Sairaj","1 bhk","1","450","38","Ready to move","",""
"Super Built-up Area","Dhankawadi","Shivshakti","1 bhk","1","380","15","Ready to move","",""
"Super Built-up Area","Karve Nagar","Oxy Vally","1 bhk","1","500","40","Ready to move","",""
"Super Built-up Area","Dhankawadi","Raut Baug","1  bhk","1","560","38","Ready to move","",""
"Super Built-up Area","Dhankawadi","Parth","2 bhk","1","585","45","Ready to move","",""
"Super Built-up Area","Dhankawadi","Ganesh Prabha","1 bhk","1","640","40","Ready to move","",""
"Built-up Area","Dhankawadi","Raut Baug","1 bhk","1","640","41","Ready to move","",""
"Built-up Area","Dhankawadi","Smruti","1 bhk","2","630","30","Ready to move","",""
"Built-up Area","Karve Nagar","Jyoti Park","2 bhk","2","610","45","Ready to move","",""
"Built-up Area","Dhankawadi","","1 bhk","1","520","21","Ready to move","",""
"Built-up Area","Karve Nagar","GPC","2 bhk","1","730","95","Ready to move","",""
"Built-up Area","Bibwewadi","Kohinoor","2 bhk","2","763","73.2","Under construction","",""
"Built-up Area","Bibwewadi","Sai shilp","3 bhk","3","1107","135","Under construction","",""
"Built-up Area","Bibwewadi","Lake Town","3 bhk","4","1300","110","Under construction","",""
"Built-up Area","Bibwewadi","Park Landmark","3 bhk","3","1115","131","Ready to move","",""
"Built-up Area","Bibwewadi","Park Landmark","2 bhk","2","857","105","Ready to move","",""
"Built-up Area","Bibwewadi","Celia","5 bhk","2","2000","260","Ready to move","",""
"Built-up Area","Bibwewadi","","2 bhk","3","965","95","Ready to move","",""
"Built-up Area","Bibwewadi","Park Landmark","3 bhk","3","1381","180","Ready to move","",""
"Super Built-up Area","Bibwewadi","SBI Nagar","1 bhk","1","560","42","Ready to move","",""
"Super Built-up Area","Bibwewadi","Kenjale Light house","3 bhk","3","1800","225","Ready to move","",""
"Super Built-up Area","Bibwewadi","Kohinoor","2 bhk","2","715","69.5","Under construction","",""
"Built-up Area","Bibwewadi","Padmavati","3 bhk","3","1042","102","Under construction","",""
"Built-up Area","Bibwewadi","Purple castle","2 bhk","2","900","89","Ready to move","",""
"Built-up Area","Bibwewadi","Park Landmark","3 bhk","3","1122","143","Under construction","",""
"Built-up Area","Bibwewadi","konark","2 bhk","2","1050","98","Ready to move","",""
